[2013-10-23 10:30:24,502][INFO] [sistema] [/space/enterprise/delete/12.04647132d8461982d7e528db7cb1024f/][admin][127.0.0.1] Empresa Mi empresa ha sido eliminado correctamente. 
[2013-10-23 10:30:43,414][INFO] [sistema] [/space/enterprise/delete/2.8038418ba39f098720c373c118ca3e32/][admin][127.0.0.1] Empresa Distribuidora ROPAx2p ha sido eliminado correctamente. 
[2013-10-23 10:33:53,217][WARNING] [sistema] [/space/association/edit_current/][asullom][127.0.0.1] Tu no posees permisos para acceder a /space/association/edit_current/ 
[2013-10-23 10:33:54,832][WARNING] [sistema] [/space/enterprise/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /space/enterprise/index/ 
[2013-10-23 10:33:55,496][WARNING] [sistema] [/space/enterprise/edit_current/][asullom][127.0.0.1] Tu no posees permisos para acceder a /space/enterprise/edit_current/ 
[2013-10-23 10:33:55,953][WARNING] [sistema] [/space/headquart/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /space/headquart/index/ 
[2013-10-23 10:34:21,891][INFO] [sistema] [/space/enterprise/delete/10.c1205d2a5ffd87677033c7d8486ab61a/][admin][127.0.0.1] Empresa gamaraz ha sido eliminado correctamente. 
[2013-10-23 10:38:23,579][ERROR] [sistema] [/mod_backend/mod_backend_dashboard/][admin][127.0.0.1] Sede no se encuentra en la base de datos. 
[2013-10-23 10:38:35,459][ERROR] [sistema] [/mod_backend/mod_backend_dashboard/][admin][127.0.0.1] Sede no se encuentra en la base de datos. 
[2013-10-23 10:40:12,822][ERROR] [sistema] [/mod_backend/mod_backend_dashboard/][admin][127.0.0.1] Sede no se encuentra en la base de datos. 
[2013-10-23 10:40:26,200][ERROR] [sistema] [/space/enterprise/edit_current/][admin][127.0.0.1] Empresa no seleccionada o no se encuentra en la base de datos. 
[2013-10-23 10:40:28,234][ERROR] [sistema] [/space/enterprise/edit_current/][admin][127.0.0.1] Empresa no seleccionada o no se encuentra en la base de datos. 
[2013-10-23 10:40:36,782][ERROR] [sistema] [/space/enterprise/edit_current/][admin][127.0.0.1] Empresa no seleccionada o no se encuentra en la base de datos. 
[2013-10-23 10:40:37,796][ERROR] [sistema] [/space/headquart/index/][admin][127.0.0.1] Empresa no seleccionada o no se encuentra en la base de datos. 
[2013-10-23 10:40:40,756][ERROR] [sistema] [/space/enterprise/edit_current/][admin][127.0.0.1] Empresa no seleccionada o no se encuentra en la base de datos. 
[2013-10-23 10:40:41,332][ERROR] [sistema] [/space/headquart/index/][admin][127.0.0.1] Empresa no seleccionada o no se encuentra en la base de datos. 
[2013-10-23 10:40:42,516][ERROR] [sistema] [/space/enterprise/edit_current/][admin][127.0.0.1] Empresa no seleccionada o no se encuentra en la base de datos. 
[2013-10-23 10:41:05,815][ERROR] [sistema] [/space/enterprise/edit_current/][admin][127.0.0.1] Empresa no seleccionada o no se encuentra en la base de datos. 
[2013-10-23 14:56:54,875][ERROR] [sistema] [/space/enterprise/edit_current/][admin][127.0.0.1] Empresa no seleccionada o no se encuentra en la base de datos. 
[2013-10-23 14:56:55,992][ERROR] [sistema] [/space/headquart/index/][admin][127.0.0.1] Empresa no seleccionada o no se encuentra en la base de datos. 
[2013-10-23 14:56:58,707][ERROR] [sistema] [/space/headquart/index/][admin][127.0.0.1] Empresa no seleccionada o no se encuentra en la base de datos. 
[2013-10-23 14:56:59,201][ERROR] [sistema] [/space/enterprise/edit_current/][admin][127.0.0.1] Empresa no seleccionada o no se encuentra en la base de datos. 
[2013-10-23 14:57:00,010][ERROR] [sistema] [/space/headquart/index/][admin][127.0.0.1] Empresa no seleccionada o no se encuentra en la base de datos. 
