[2013-10-17 16:41:10,894][WARNING] [sistema] [/sad/menu/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/menu/index/ 
[2013-10-17 16:41:55,813][WARNING] [sistema] [/sad/menu/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/menu/index/ 
[2013-10-17 16:54:03,203][WARNING] [sistema] [/sad/module/plans_edit/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/module/plans_edit/ 
[2013-10-17 16:54:04,091][WARNING] [sistema] [/space/solution/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /space/solution/index/ 
[2013-10-17 16:54:04,622][WARNING] [sistema] [/sad/module/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/module/index/ 
[2013-10-17 16:54:05,098][WARNING] [sistema] [/sad/group/permissions_edit/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/group/permissions_edit/ 
[2013-10-17 16:54:05,594][WARNING] [sistema] [/sad/group/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/group/index/ 
[2013-10-17 16:54:05,989][WARNING] [sistema] [/sad/resource/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/resource/index/ 
[2013-10-17 16:54:26,519][WARNING] [sistema] [/sad/menu/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/menu/index/ 
[2013-10-17 16:54:27,915][WARNING] [sistema] [/sad/menu/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/menu/index/ 
[2013-10-17 17:02:10,407][WARNING] [sistema] [/sad/group/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/group/index/ 
[2013-10-17 17:02:11,996][WARNING] [sistema] [/sad/group/permissions_edit/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/group/permissions_edit/ 
[2013-10-17 17:02:13,299][WARNING] [sistema] [/sad/module/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/module/index/ 
[2013-10-17 17:02:14,477][WARNING] [sistema] [/space/solution/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /space/solution/index/ 
[2013-10-17 17:02:15,134][WARNING] [sistema] [/sad/module/plans_edit/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/module/plans_edit/ 
[2013-10-17 17:02:15,645][WARNING] [sistema] [/sad/menu/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/menu/index/ 
[2013-10-17 17:02:29,726][WARNING] [sistema] [/sad/resource/delete/135.22e38749acb6d24b899c73fa1a11ac90/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/resource/delete/ 
[2013-10-17 17:05:03,595][WARNING] [sistema] [/sad/resource/delete/135.22e38749acb6d24b899c73fa1a11ac90/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/resource/delete/ 
[2013-10-17 17:06:17,118][WARNING] [sistema] [/sad/menu/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/menu/index/ 
[2013-10-17 17:06:20,490][WARNING] [sistema] [/sad/menu/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/menu/index/ 
[2013-10-18 04:57:19,260][WARNING] [sistema] [/sad/menu/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/menu/index/ 
[2013-10-18 04:57:29,140][WARNING] [sistema] [/sad/menu/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/menu/index/ 
[2013-10-18 04:57:30,986][WARNING] [sistema] [/sad/module/plans_edit/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/module/plans_edit/ 
[2013-10-18 04:57:31,796][WARNING] [sistema] [/space/solution/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /space/solution/index/ 
